Unnamed: 0,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,predicted_s.s.temp.
5320,1996,5,11,-8.01,-170.0,-7.4,-1.4,78.3,29.27,29.59996
5321,1994,2,22,1.95,-125.0,-6.5,1.3,78.3,29.27,27.845285
5322,1991,8,30,1.99,-155.0,-0.8,0.9,78.3,27.36,27.647411
5323,1994,8,27,-0.03,-170.0,-1.1,0.7,73.0,28.8,29.00254
5324,1994,8,21,-8.27,-155.0,-4.7,-3.9,74.2,27.88,28.326227
5325,1992,2,6,0.05,-124.4,-4.7,-3.9,83.2,27.34,26.383049
5326,1989,3,31,1.94,-140.2,-5.5,2.0,83.2,25.34,25.642244
5327,1988,6,14,-1.99,-140.0,-6.9,-1.0,83.2,25.02,25.15129
5328,1993,9,30,-4.97,-110.0,-4.6,1.1,85.1,23.98,23.767418
5329,1988,12,14,7.04,-132.5,-2.2,3.9,85.1,24.9,26.5537
5330,1992,5,21,-5.0,-110.0,-4.7,2.5,75.4,27.45,26.734158
5331,1995,9,4,2.43,137.4,1.2,-1.7,87.5,26.4,28.453281
5332,1990,12,29,0.0,-109.94,-2.1,3.5,87.5,22.95,22.41365
5333,1993,5,30,2.0,156.0,-5.8,-1.0,84.0,28.69,28.842419
5334,1994,9,18,-0.01,-94.94,-2.6,4.5,95.3,19.7,20.212835
5335,1994,4,7,2.0,-125.0,-4.0,1.6,95.3,19.7,21.18558
5336,1994,11,23,0.0,165.0,-1.5,-1.3,77.0,28.77,29.269175
5337,1993,2,16,5.01,-154.9,-5.4,1.9,79.3,26.88,27.377222
5338,1982,1,21,-0.01,-94.94,-0.1,2.3,79.3,23.62,24.012693
5339,1991,11,21,0.02,-140.0,-6.6,-0.4,80.1,26.83,26.068108
5340,1996,5,8,2.06,-154.9,-6.9,-2.0,80.2,27.03,27.035074
5341,1993,2,20,-0.03,-170.0,-6.3,0.2,78.9,26.88,27.341618
5342,1993,12,3,2.05,165.0,-6.3,0.2,84.8,27.45,28.755352
5343,1993,9,23,-5.0,-155.0,-8.1,-2.8,76.6,28.4,28.139492
5344,1991,5,1,4.98,165.0,-5.1,-0.8,76.6,26.81,28.44963
5345,1989,9,29,-2.0,-110.0,-6.0,2.8,76.6,22.73,22.660076
5346,1994,9,10,7.99,-170.0,-6.0,2.8,82.2,27.27,28.050007
5347,1993,10,29,-1.98,156.0,-1.1,0.2,84.8,28.45,29.107203
5348,1993,7,19,7.96,-155.0,-6.7,-1.0,84.8,28.45,27.907097
5349,1993,12,14,7.99,-170.0,-4.8,-2.6,84.8,27.69,28.547148
5350,1991,1,23,8.97,-140.2,-2.0,-4.3,84.8,25.94,26.804688
5351,1996,2,25,2.0,156.1,-2.0,-1.4,71.7,28.88,29.056562
5352,1995,8,21,-1.99,-179.9,-6.8,-1.9,78.5,28.11,28.4981
5353,1988,5,12,2.01,-140.1,-3.2,4.6,78.5,24.12,24.732462
5354,1990,3,29,1.97,147.0,0.1,-1.7,78.5,28.56,28.87876
5355,1994,11,2,-8.01,-170.0,-1.1,-2.9,78.5,28.56,29.401386
5356,1993,6,5,-4.97,-179.9,-4.9,-1.1,83.3,28.89,29.491806
5357,1993,11,8,-0.02,-94.94,-4.0,5.5,83.3,22.64,22.309664
5358,1990,2,3,7.01,-140.1,-9.7,-1.9,83.3,26.56,26.82066
5359,1990,2,3,5.01,-110.06,-3.1,2.2,83.3,26.19,27.121752
5360,1992,10,9,7.97,-155.0,-4.3,-1.4,83.3,28.72,28.351494
5361,1995,5,12,8.04,-125.0,-3.5,-5.2,73.2,27.27,27.374296
5362,1994,5,10,-2.0,-95.0,-3.2,-0.2,97.2,24.77,24.187977
5363,1992,6,13,8.03,-110.06,-3.2,-0.2,97.2,27.44,27.307943
5364,1992,4,6,4.99,-170.0,-4.8,-3.2,81.6,26.7,27.814735
5365,1988,11,3,-1.99,-110.0,-3.9,2.0,81.6,21.55,21.547005
5366,1992,9,16,2.12,-110.25,-3.7,4.8,79.7,24.9,24.966488
5367,1991,9,13,1.99,-155.0,-0.4,3.6,79.7,26.95,27.24636
5368,1994,8,6,2.0,-179.9,-2.0,1.5,79.7,28.61,28.940292
5369,1996,1,25,-5.0,-170.0,-6.5,-2.8,71.6,27.8,28.42065
5370,1996,7,11,2.02,-179.8,-7.2,-0.7,78.5,28.44,28.422497
5371,1996,6,2,4.97,147.0,-7.2,-0.7,78.5,28.92,28.886501
5372,1988,10,15,5.04,-140.0,-5.4,3.8,78.5,25.78,26.62171
5373,1996,10,6,-1.99,-95.1,-4.8,4.5,87.1,19.77,20.232166
5374,1994,6,6,-0.03,-170.0,-5.6,-1.2,82.7,28.45,28.382019
5375,1992,2,25,5.01,-110.0,0.1,-0.3,82.7,26.33,27.230371
5376,1992,2,6,1.99,-155.0,0.1,-4.7,82.7,26.9,27.449306
5377,1993,1,14,-8.01,-170.0,0.4,-0.9,68.4,29.11,30.147688
5378,1991,4,21,1.96,165.0,-0.6,-5.3,68.4,28.9,29.092184
5379,1994,3,1,-2.0,-95.0,0.4,-3.3,90.5,25.39,24.89197
5380,1995,5,17,-5.02,-95.1,-3.1,2.2,85.8,24.25,24.20605
5381,1994,7,2,0.0,-155.0,-5.4,-0.1,78.1,27.6,27.336874
5382,1996,10,3,-1.94,164.4,-3.7,-1.2,76.8,28.69,29.212906
5383,1992,12,8,2.06,165.0,-0.1,1.3,80.5,28.58,29.229858
5384,1996,7,22,-2.16,-170.0,1.4,2.2,80.5,27.31,28.381271
5385,1993,10,24,-1.95,164.4,3.0,-0.5,75.3,29.52,29.579235
5386,1993,9,29,-0.04,-170.0,-7.0,-0.6,80.3,28.27,28.15625
5387,1994,4,29,0.0,143.0,-2.0,-0.7,94.1,27.6,28.53812
5388,1995,1,24,-0.02,-170.0,-6.2,-0.7,75.9,29.31,28.943102
5389,1996,2,7,8.06,-110.1,-7.4,-3.3,83.0,26.12,26.92701
5390,1993,10,31,7.95,-155.0,-1.4,0.6,85.6,27.84,28.321455
5391,1992,3,1,1.99,165.0,-2.3,-5.4,85.6,28.69,28.787428
5392,1992,3,8,8.0,165.0,-6.2,-6.2,72.7,26.98,28.323317
5393,1993,5,10,4.97,147.0,-6.2,-6.2,82.8,27.81,28.44985
5394,1993,8,1,-0.03,-170.0,-6.5,1.2,78.0,29.02,28.692406
5395,1994,1,26,8.05,165.1,-9.3,0.2,86.3,27.06,28.215303
5396,1990,6,28,-2.04,-140.1,-5.3,2.3,86.3,26.12,26.097336
5397,1994,5,7,0.0,156.0,2.1,3.6,79.9,27.94,29.013422
5398,1993,3,28,7.96,-155.0,-8.5,-4.5,79.9,27.94,27.386934
5399,1992,7,31,1.98,147.0,0.9,4.3,82.0,27.31,28.80254
5400,1996,2,16,-2.0,-140.0,-6.6,-3.2,91.5,25.3,25.488066
5401,1989,9,20,0.0,-169.5,-5.2,3.4,91.5,26.98,27.313461
5402,1995,6,20,-7.98,165.0,-5.2,3.4,91.5,28.69,29.213976
5403,1991,1,2,-5.03,165.0,-0.1,-1.7,91.5,27.83,28.688688
5404,1989,9,3,0.02,-140.0,-7.5,1.2,91.5,24.95,24.620152
5405,1993,11,28,5.01,-110.0,-0.3,7.9,88.7,26.02,26.80545
5406,1994,10,13,5.0,-140.0,-3.9,4.5,76.6,27.05,27.688723
5407,1990,2,14,8.01,165.0,-4.1,-5.2,76.6,27.45,28.415802
5408,1996,2,23,5.38,-94.9,-2.6,-1.1,89.4,25.86,27.067308
5409,1994,8,3,-8.0,-170.0,-2.9,-1.1,89.4,28.42,29.280174
5410,1990,3,11,2.0,-110.1,-6.0,-0.9,89.4,27.16,26.840734
5411,1994,12,10,4.99,147.0,-6.0,-0.9,82.3,27.05,28.571257
5412,1993,9,3,4.99,-170.0,-2.0,-0.5,74.3,28.94,29.009592
5413,1996,2,23,0.0,147.0,9.0,-1.0,82.8,27.52,28.8856
5414,1994,8,30,-4.97,165.2,-2.0,-0.6,88.2,27.66,28.892317
5415,1994,9,23,-7.98,-95.06,-6.3,2.1,72.2,21.36,21.971268
5416,1992,7,30,0.01,-124.44,-9.1,0.8,72.2,24.22,23.84587
5417,1993,8,3,-2.18,-170.0,-6.4,-2.1,77.0,29.0,28.83645
5418,1994,10,16,-2.0,-110.0,-3.7,1.0,89.5,23.7,23.17644
5419,1989,9,30,0.02,165.1,-2.5,0.4,89.5,28.27,28.918795
5420,1989,12,4,2.0,-140.0,-6.3,1.3,89.5,24.3,24.334621
5421,1992,1,10,0.06,-124.4,-6.3,1.3,89.5,26.88,26.24441
5422,1989,6,9,2.0,165.0,-4.1,2.0,89.5,28.4,28.815706
5423,1989,8,24,2.01,-140.0,-7.9,2.5,89.5,28.4,27.587246
5424,1992,10,6,-7.97,165.0,-3.5,3.3,85.5,27.25,29.049679
5425,1987,12,12,2.04,165.0,-4.4,0.0,85.5,29.23,29.147831
5426,1992,10,12,-4.97,-140.0,-7.0,-4.0,75.4,26.27,26.199516
5427,1993,5,10,2.0,-179.9,-4.1,-2.3,84.5,28.31,28.566584
5428,1991,10,31,1.99,-155.0,-3.8,3.5,84.5,27.8,27.655579
5429,1994,5,8,5.02,-110.0,-3.3,3.1,92.8,27.64,27.499569
5430,1994,12,22,6.68,137.6,1.8,-5.7,78.6,28.06,28.895206
5431,1994,1,17,4.97,137.0,1.8,-5.7,78.6,28.06,28.626797
5432,1996,9,26,-5.01,-95.06,-5.2,3.3,79.7,20.84,21.382462
5433,1996,10,12,-5.02,-124.94,-7.4,0.3,81.1,25.39,25.067137
5434,1996,9,25,5.04,165.0,-3.4,0.5,68.4,29.14,29.325916
5435,1986,7,14,2.0,165.0,-4.2,0.4,68.4,28.88,29.119686
5436,1982,7,8,0.02,-94.75,-0.3,4.9,68.4,22.53,22.805027
5437,1995,12,28,-5.01,-139.9,-6.9,-1.8,82.0,25.7,25.796854
5438,1995,7,7,-4.99,-155.0,-7.5,0.4,80.6,27.36,27.50256
5439,1991,2,8,-5.05,-110.0,-6.9,3.8,80.6,25.0,25.134459
5440,1996,6,22,-8.06,-109.94,-6.9,3.8,80.4,25.45,25.335987
5441,1994,4,5,-2.02,-124.9,-4.4,-2.2,89.3,25.97,25.62236
5442,1996,12,7,-8.02,-170.0,3.9,2.1,77.9,27.77,29.29809
5443,1995,6,1,-7.98,165.0,3.9,2.1,77.9,28.48,29.489336
5444,1993,8,1,1.97,-95.06,-1.9,6.6,85.5,24.2,24.545033
5445,1992,6,24,0.03,-155.0,-4.9,-1.5,85.5,26.95,26.981495
5446,1991,10,19,-4.99,-155.0,-4.8,-2.4,72.3,27.81,27.931322
5447,1988,8,7,0.02,-169.5,-8.3,0.2,72.3,26.73,26.883648
5448,1994,2,7,1.99,147.0,-4.9,-2.1,78.4,28.62,28.770044
5449,1988,12,5,-1.99,164.9,-4.7,-1.3,78.4,27.52,28.860971
5450,1994,6,30,-2.02,-110.0,-6.4,1.0,86.7,24.14,23.844074
5451,1994,7,19,-0.03,-170.0,-3.5,0.5,80.4,28.56,28.659643
5452,1987,9,16,-5.0,165.0,-1.4,-0.1,80.4,28.12,29.046804
5453,1995,3,19,6.68,137.6,-7.0,-3.8,80.4,27.6,28.35938
5454,1994,7,14,5.0,156.0,-7.0,-3.8,73.7,27.6,28.624025
5455,1996,9,20,4.99,-109.94,-1.9,6.5,76.5,25.23,26.436766
5456,1996,2,12,-2.0,-125.0,-5.0,-1.3,93.2,24.77,24.779783
5457,1995,3,15,2.04,-110.1,-2.5,3.9,83.8,25.98,26.273764
5458,1994,8,24,7.96,-155.0,-1.2,0.1,83.8,27.56,28.126537
5459,1996,3,23,2.06,-155.0,-3.9,-4.8,78.6,26.8,27.131433
5460,1995,5,2,1.99,-140.0,-4.8,1.8,83.4,26.8,26.672966
5461,1994,6,15,2.02,156.0,1.5,-0.4,80.1,28.56,29.070475
5462,1994,6,30,-2.0,-124.9,-8.4,-1.6,80.9,26.52,25.719353
5463,1992,6,4,-0.03,-170.0,1.2,0.5,84.8,26.92,27.832672
5464,1992,6,3,2.03,-110.06,-7.6,4.5,80.1,28.02,27.402817
5465,1995,6,2,8.0,-170.0,-4.9,-4.1,85.4,27.73,28.130838
5466,1990,10,29,7.03,-147.5,-2.4,6.4,85.4,27.94,28.055563
5467,1995,1,30,2.0,-155.0,-7.7,-0.8,85.0,27.06,27.138266
5468,1996,6,16,0.02,-139.9,-6.8,-0.9,83.2,25.86,25.552197
5469,1992,8,4,1.98,147.0,-4.4,1.6,78.1,28.66,28.995003
5470,1995,5,22,2.0,165.0,-1.0,-2.1,75.4,28.55,29.053389
5471,1994,4,5,5.0,-179.9,-4.5,-4.8,82.0,27.88,28.253595
5472,1995,9,26,-1.98,-155.0,-6.0,-3.3,86.5,25.44,25.934488
5473,1995,10,10,-1.99,-155.0,-6.7,-3.6,78.5,25.9,26.121693
5474,1996,9,15,2.05,-155.0,-8.8,0.4,72.1,26.2,26.159483
5475,1996,11,14,4.98,-179.9,2.7,4.5,74.9,28.3,29.474333
5476,1990,12,27,0.0,-110.0,-4.8,2.7,74.9,23.17,22.600992
5477,1992,10,12,5.0,-140.0,-6.3,1.2,74.9,26.6,27.204039
5478,1995,7,20,2.02,137.0,-6.3,1.2,76.8,29.28,29.077003
5479,1996,1,12,-2.0,-95.0,-1.8,2.4,94.3,23.6,23.851017
5480,1993,5,21,-0.01,165.0,5.2,-2.3,86.7,26.97,28.716253
5481,1996,5,15,-7.97,-179.9,-5.4,1.5,75.1,28.48,29.519608
5482,1995,1,30,2.01,147.0,-2.7,-3.3,85.1,28.23,28.636883
5483,1993,8,30,8.03,-110.06,-2.7,-3.3,85.1,26.86,27.332113
5484,1995,10,17,-0.3,-96.1,-4.1,4.0,77.6,22.06,21.905767
5485,1995,11,19,-2.0,-140.0,-5.2,-1.9,87.2,24.56,24.716364
5486,1996,12,28,5.13,-124.9,-7.2,4.4,87.2,25.67,26.198381
5487,1987,10,23,-0.03,-139.9,-5.5,2.6,87.2,26.56,25.956581
5488,1991,1,7,2.01,-140.0,-5.5,2.6,87.2,26.05,26.224817
5489,1992,9,13,-2.03,-124.9,-6.2,1.4,85.2,25.12,24.610645
5490,1991,12,2,0.02,-140.0,-5.6,0.6,81.3,27.17,26.292768
5491,1982,8,14,0.02,-94.75,-4.1,6.1,81.3,21.9,22.05308
5492,1996,3,11,9.0,-140.2,-4.1,6.1,75.2,26.16,27.159542
5493,1990,8,30,2.01,-110.1,-4.6,4.3,75.2,23.81,24.23311
5494,1988,9,9,0.14,-124.44,-8.9,1.2,75.2,23.05,22.730967
5495,1989,7,9,5.01,-110.06,-2.2,7.3,75.2,25.67,26.935976
5496,1989,3,1,-4.96,-110.0,-2.2,7.3,75.2,25.67,25.76465
5497,1992,3,4,8.0,165.0,-7.2,-5.1,78.1,27.14,28.295954
5498,1990,2,24,8.01,165.0,-2.1,-4.0,78.1,28.06,28.619518
5499,1996,6,4,-2.0,-110.0,-5.1,2.7,79.3,24.77,24.413027
5500,1985,9,22,-2.04,-110.0,-5.1,2.7,79.3,20.84,21.251389
5501,1987,10,19,-2.0,165.1,0.9,-0.7,79.3,29.16,29.330063
5502,1995,5,6,5.0,156.1,-6.7,-3.3,81.6,28.73,28.77572
5503,1996,1,22,-4.98,165.1,-2.5,-1.8,63.2,28.94,29.261158
5504,1995,7,2,1.98,-170.0,-2.5,-1.3,78.7,28.06,28.2931
5505,1992,9,28,1.95,-140.9,-4.5,1.8,78.7,25.77,25.800772
5506,1992,11,30,-1.99,155.9,1.4,-1.6,77.7,28.77,29.302917
5507,1992,5,20,-4.96,156.0,0.6,2.3,77.7,28.03,29.061972
5508,1996,6,8,-7.97,-179.9,-7.0,1.1,73.5,29.02,29.732748
5509,1989,10,26,0.02,165.1,-2.2,0.4,73.5,27.8,29.011017
5510,1994,1,11,5.0,-154.9,-5.9,1.4,73.5,27.45,27.412085
5511,1992,10,19,4.98,-154.9,-3.0,2.8,82.8,27.22,28.198141
5512,1993,3,3,-1.99,164.4,3.0,-0.5,82.8,27.62,28.85494
5513,1995,8,15,-4.98,-155.0,-6.7,-2.6,82.9,26.94,27.2224
5514,1990,12,30,-5.01,165.0,1.5,-1.5,82.9,26.84,28.88558
5515,1996,12,17,-4.98,-110.0,-7.4,3.3,84.0,23.02,22.707294
5516,1994,1,13,4.96,147.0,-2.8,-3.5,80.5,27.92,28.539272
5517,1993,2,6,8.04,-110.06,1.6,4.8,80.5,27.92,27.70783
5518,1987,8,1,2.01,-140.0,-1.4,3.0,80.5,27.08,26.976551
5519,1992,7,17,2.01,-155.0,-5.4,2.1,75.4,27.2,27.21676
5520,1992,4,28,0.03,-155.0,-3.0,-1.4,83.6,28.44,28.235956
5521,1985,12,24,-8.03,-109.94,-3.0,-1.4,83.6,23.6,23.828648
5522,1995,7,1,5.0,-140.0,-6.2,0.1,77.0,27.34,27.539515
5523,1994,9,9,1.97,-125.06,-6.8,2.2,81.4,24.6,24.46049
5524,1994,3,27,5.0,156.0,-6.8,2.2,81.6,28.31,28.720938
5525,1996,1,10,5.32,-124.9,-3.5,2.8,82.6,25.36,26.914604
5526,1990,6,29,-5.03,165.0,-3.5,2.8,82.6,27.38,28.812548
5527,1993,3,6,2.02,137.0,-3.5,2.8,83.2,28.4,28.761656
5528,1993,4,18,-4.93,165.0,1.7,-3.7,84.0,28.3,28.997492
5529,1993,8,6,-8.29,-155.0,-4.8,-1.3,82.1,28.31,28.642876
5530,1995,7,21,8.04,-125.0,-0.6,4.1,84.4,26.8,27.438456
5531,1995,5,31,4.98,-170.0,-5.9,-2.0,79.1,28.47,28.299704
5532,1994,2,14,7.99,-170.0,-4.2,-1.8,79.1,26.16,27.457592
5533,1994,4,26,-1.96,-179.9,-4.2,-1.1,82.1,28.36,28.984205
5534,1994,12,16,-2.0,156.0,5.4,3.5,82.1,28.69,29.46645
5535,1992,11,29,2.03,137.0,-0.7,-1.7,80.5,28.64,29.0482
5536,1989,2,12,-4.97,-110.0,-0.7,-1.7,80.5,24.72,24.943066
5537,1992,3,12,2.0,-170.0,6.4,0.4,88.7,27.06,28.390198
5538,1993,7,3,-1.95,-179.9,-5.1,-1.4,88.7,28.67,29.01926
5539,1992,9,12,-5.0,165.1,5.8,-5.6,88.7,25.55,28.48396
5540,1992,8,12,2.0,-155.0,-5.4,2.3,73.0,26.62,26.713713
5541,1991,12,15,8.04,-110.06,-5.4,2.3,87.5,26.44,27.315557
5542,1994,6,1,2.0,-179.9,-2.5,3.2,83.8,28.2,28.656977
5543,1995,11,20,-1.95,164.4,-5.4,-1.7,77.7,28.02,29.020638
5544,1994,5,26,5.01,-154.9,-2.1,0.8,77.7,27.77,28.09669
5545,1989,1,17,1.94,-140.2,-9.3,1.1,77.7,24.02,24.640568
5546,1995,10,15,5.03,165.0,-1.8,0.5,77.7,28.62,29.151978
5547,1988,10,1,-0.03,165.0,-1.8,0.5,77.7,28.62,29.144695
5548,1990,2,12,-0.23,-124.44,-1.8,0.5,77.7,28.62,27.615583
5549,1993,4,19,5.02,-140.0,-1.8,0.5,77.7,26.69,27.443031
5550,1990,12,29,-5.0,-140.0,-6.7,-2.7,77.0,26.7,26.561117
5551,1996,2,7,-0.3,-96.06,0.1,4.4,93.3,24.6,24.481571
5552,1994,1,8,5.0,-179.9,-3.2,-3.4,87.5,26.8,27.835592
5553,1995,9,5,-4.98,165.1,-3.4,-2.6,70.8,28.69,29.273949
5554,1992,3,9,0.02,-140.0,-1.1,-1.7,85.8,26.44,26.494476
5555,1996,4,21,4.96,147.0,-1.1,-1.7,85.3,26.48,28.328653
5556,1988,9,4,5.05,-110.0,-1.1,-1.7,85.3,24.45,25.534178
5557,1996,2,18,5.0,-179.9,-1.1,-1.7,70.6,27.9,28.369108
5558,1993,12,18,2.06,165.0,-1.1,-1.7,84.8,28.05,28.998217
5559,1995,10,28,5.03,165.0,-5.7,2.4,84.8,28.67,29.034342
5560,1995,11,21,5.0,156.1,-5.0,-1.5,81.4,28.52,28.969149
5561,1994,1,5,4.96,147.0,-2.4,-1.2,86.1,28.08,28.562916
5562,1994,9,17,8.0,-179.9,-1.5,-0.2,77.0,29.06,29.090746
5563,1996,8,14,8.05,-110.1,3.3,-1.4,77.0,26.52,27.542685
5564,1989,9,19,0.03,165.1,-2.8,2.7,77.0,27.42,28.879763
5565,1994,10,6,8.05,165.1,3.6,2.7,83.5,28.52,29.173248
5566,1993,8,27,-1.95,-179.9,-0.2,-0.8,83.5,29.14,29.773073
5567,1995,10,1,0.0,165.0,-5.9,-2.1,77.7,29.14,29.19895
5568,1993,4,30,0.0,143.0,-2.8,2.2,77.1,28.34,28.916405
5569,1995,1,21,0.02,-140.0,-7.6,0.6,78.9,25.95,25.751656
5570,1994,2,13,-8.03,-170.0,-5.0,-2.3,78.9,25.95,27.467447
5571,1993,5,11,-0.05,-170.0,-2.3,-0.7,79.7,28.45,28.668556
5572,1994,11,18,8.13,-124.94,-3.6,6.6,78.3,27.31,27.68677
5573,1995,6,27,-4.97,-110.0,-5.2,-0.2,75.6,24.89,24.70199
5574,1993,9,3,0.0,165.0,0.6,-2.0,75.4,28.1,29.09127
5575,1985,6,22,-0.01,-124.56,-5.5,2.9,75.4,24.08,23.919672
5576,1992,6,5,-5.0,-110.0,-8.2,2.9,79.7,27.06,26.208391
5577,1995,1,23,5.0,-140.0,-4.5,1.2,79.7,26.02,26.98814
5578,1988,7,31,-5.0,165.0,-4.1,4.8,79.7,28.55,29.144873
5579,1994,8,8,1.96,-125.06,-5.9,1.9,70.8,25.1,25.045258
5580,1992,8,9,-5.05,-124.9,-7.1,1.3,79.3,25.9,25.547014
5581,1996,3,31,-2.16,-170.0,-5.7,0.1,82.5,27.36,27.95174
5582,1995,7,12,4.98,-179.9,-1.7,4.1,70.2,28.69,28.98117
5583,1991,11,30,-4.99,156.0,-1.7,4.1,70.2,29.28,29.566256
5584,1988,7,9,0.03,-169.5,-6.6,1.6,70.2,26.88,27.162518
5585,1994,5,9,5.06,-125.0,-2.5,4.5,95.6,26.17,27.106663
5586,1996,7,2,-2.02,-140.0,-4.5,-1.0,80.0,26.55,26.408085
5587,1991,9,22,5.01,165.0,4.1,0.6,80.0,26.55,28.718666
5588,1994,10,23,0.03,-179.9,-0.1,-1.5,71.6,28.81,29.272785
5589,1994,1,18,-8.01,-109.94,-4.7,1.6,82.4,24.88,25.323606
5590,1992,10,22,-7.97,-125.0,-6.8,-0.8,82.4,24.88,25.11671
5591,1990,11,17,2.02,-140.0,-7.2,1.1,82.4,24.9,24.830025
5592,1989,8,2,7.06,-140.1,3.3,2.3,82.4,25.4,27.5244
5593,1992,8,31,-0.01,154.0,3.3,2.3,82.4,25.4,28.457563
5594,1996,1,7,-5.01,-139.9,-7.6,0.4,83.2,25.97,26.20217
5595,1996,7,21,8.04,-125.0,-1.4,5.1,75.0,27.56,27.727846
5596,1996,3,17,8.05,-94.94,-1.9,-2.5,76.7,26.7,27.37385
5597,1992,6,24,2.03,137.0,0.3,0.5,80.5,29.52,29.184294
5598,1996,3,14,4.99,-154.9,-4.7,-3.9,85.7,26.73,27.539286
5599,1995,6,3,-4.97,-110.0,-6.4,1.0,75.2,26.27,25.675125
5600,1994,10,2,-8.0,-125.0,-7.2,-0.8,78.2,25.83,25.75974
5601,1994,10,10,2.04,-110.1,-5.1,4.2,72.7,24.64,24.666553
5602,1992,5,18,0.03,-155.0,-0.9,-1.4,83.6,28.11,28.11251
5603,1993,5,15,1.96,-125.0,-3.3,1.7,74.3,27.4,27.076653
5604,1995,5,3,6.68,137.6,-6.0,0.1,74.3,28.67,28.8139
5605,1995,7,16,0.0,-94.94,-3.2,3.6,74.3,21.56,21.967424
5606,1996,3,8,4.99,-109.94,-3.2,3.6,80.9,27.3,27.529005
5607,1990,9,16,5.0,147.0,-3.2,3.6,80.9,26.83,28.562544
5608,1995,1,11,7.99,-170.0,-5.2,-6.1,86.5,26.98,27.441368
5609,1994,5,15,-4.99,-179.9,-2.7,-3.9,78.4,28.69,29.511827
5610,1990,1,10,0.0,-110.0,-2.7,-3.9,78.4,23.2,23.49094
5611,1994,12,21,2.01,-170.0,-5.4,3.0,77.4,29.97,29.431952
5612,1992,6,2,-0.02,-170.0,-3.5,-2.2,75.4,28.94,28.842173
5613,1993,12,24,-0.01,-94.94,-2.0,4.1,75.4,23.34,22.871225
5614,1991,12,10,-7.99,165.0,1.2,4.5,75.4,23.34,28.470808
5615,1991,4,30,2.02,-140.0,-2.8,2.0,75.4,26.72,26.879467
5616,1989,9,12,5.01,-110.06,-2.8,5.3,75.4,24.58,25.873373
5617,1990,9,16,-2.59,-111.4,-5.9,3.5,75.4,23.48,23.275404
5618,1995,11,3,0.01,156.1,-5.9,3.5,74.4,28.31,29.130062
5619,1991,8,22,8.98,-140.2,0.1,0.5,84.4,27.02,27.661509
5620,1994,2,12,0.0,156.0,-3.2,-6.5,77.1,28.5,28.789637
5621,1996,5,31,-2.0,155.8,-3.2,-6.5,77.1,28.5,28.933306
5622,1996,1,27,5.39,-94.9,1.0,5.3,91.8,24.52,26.752344
5623,1991,11,3,-1.98,164.9,4.1,-0.4,91.8,27.97,29.059652
5624,1986,6,21,-0.01,-140.0,-7.6,1.3,91.8,26.62,26.047653
5625,1996,11,22,-4.99,165.2,-7.6,1.3,91.8,26.62,28.603392
5626,1993,1,3,2.02,137.0,-7.6,1.3,78.5,28.19,28.581413
5627,1992,1,27,-2.03,-124.9,-5.4,0.1,80.5,26.81,26.392023
5628,1995,9,20,5.0,-109.9,-5.4,0.1,65.6,24.69,25.889046
5629,1994,7,12,1.95,-125.06,-8.7,1.4,78.2,24.9,24.830404
5630,1992,7,23,5.01,-154.9,-6.2,3.9,78.1,28.56,28.0924
5631,1992,1,12,0.02,-140.0,-3.8,-0.7,74.8,28.08,27.496916
5632,1994,8,30,-4.99,-155.0,-3.8,-0.7,74.9,28.27,28.445034
5633,1995,9,28,-4.99,-180.0,-3.1,-1.7,73.4,28.08,29.033396
5634,1996,8,7,-1.99,-179.9,-2.3,-1.7,73.4,27.61,28.438223
5635,1994,6,11,-2.0,-179.9,-3.2,-1.6,79.7,28.4,28.996794
5636,1993,8,21,-2.03,-124.9,-5.3,-0.1,86.8,23.94,23.865591
5637,1992,11,11,4.99,147.0,1.0,-3.8,86.8,27.62,28.727694
5638,1995,4,23,-8.29,-155.0,-1.5,-1.5,75.2,28.9,29.426577
5639,1989,11,13,8.0,165.0,-0.7,2.0,75.2,27.88,28.969084
5640,1993,3,1,-0.02,-124.4,-5.0,-1.0,88.2,25.34,24.909687
5641,1987,3,27,-4.99,-109.9,-5.0,-1.0,88.2,27.28,26.535074
5642,1996,6,10,2.05,-154.9,-8.4,-0.9,73.7,27.27,27.089325
5643,1996,1,14,-2.01,156.0,3.0,-3.6,73.7,27.27,28.768375
5644,1985,1,31,-0.01,-124.56,3.0,-3.6,73.7,22.05,23.14456
5645,1996,6,26,-8.06,-109.94,3.0,-3.6,74.1,25.42,25.915493
5646,1986,3,24,2.15,-110.25,3.0,-3.6,74.1,25.83,26.23432
5647,1993,10,28,2.06,165.0,3.0,-3.6,82.8,27.56,28.92353
5648,1993,12,15,5.06,-125.0,-4.2,5.0,80.2,26.3,26.771599
5649,1991,9,23,0.0,165.0,5.8,2.1,79.9,27.4,29.067682
5650,1991,12,16,-5.0,-155.0,-1.8,-0.7,81.3,27.69,28.075016
5651,1994,2,15,4.98,-170.0,-4.7,1.8,78.0,27.84,27.94278
5652,1991,6,15,2.02,-110.1,-2.0,6.1,80.1,26.28,26.305576
5653,1992,3,13,-0.02,-170.0,2.3,-2.9,85.9,27.39,28.282387
5654,1994,1,26,0.04,-140.0,-1.2,0.7,89.1,24.44,25.107409
5655,1996,3,23,2.03,-110.1,-4.8,-2.1,80.4,27.27,27.072485
